"TimeUTC","timestampInMs","requestPath","requestMethod","requestQueryString","responseStatusCode","requestId","requestUserAgent","level","environment","branch","vercelCache","type","function","host","deploymentDomain","deploymentId","durationMs","region","maxMemoryUsed","memorySize","message","projectId","traceId","sessionId","invocationId","instanceId","concurrency"
"2025-11-12 14:27:25",1762957645594,"chatbotcollectibus.vercel.app/api/conversations","GET","",-1,"9p2qr-1762957645351-df1246c2b28c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNHAYFBCJK7SW5K6FS2R","",-1
"2025-11-12 14:27:25",1762957645556,"chatbotcollectibus.vercel.app/chat","GET","",200,"sxjlc-1762957645355-071284dcb2f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/chat","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",11,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNQMZ7BHP8ZA22Z8B64R","xsIqoR1WXVKx",1
"2025-11-12 14:27:25",1762957645520,"chatbotcollectibus.vercel.app/documents","GET","",200,"4cwwr-1762957645355-35e8c83e3eb6","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/documents","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",9,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNPGW1AWSXFCTGWJEHKK","xsIqoR1WXVKx",1
"2025-11-12 14:27:25",1762957645504,"chatbotcollectibus.vercel.app/chat","GET","",-1,"sxjlc-1762957645355-071284dcb2f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNHJQZS42Y96BCHS50K4","",-1
"2025-11-12 14:27:25",1762957645469,"chatbotcollectibus.vercel.app/documents","GET","",-1,"4cwwr-1762957645355-35e8c83e3eb6","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNHGV0F8T92R6X5XD6NX","",-1
"2025-11-12 14:27:25",1762957645362,"chatbotcollectibus.vercel.app/chat","GET","",200,"sxjlc-1762957645355-071284dcb2f8","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNHJQZS42Y96BCHS50K4","exaeX70j6zWi",-1
"2025-11-12 14:27:25",1762957645360,"chatbotcollectibus.vercel.app/documents","GET","",200,"4cwwr-1762957645355-35e8c83e3eb6","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNHGV0F8T92R6X5XD6NX","sQ2s74Y5fZwk",-1
"2025-11-12 14:27:25",1762957645354,"chatbotcollectibus.vercel.app/api/conversations","GET","",200,"9p2qr-1762957645351-df1246c2b28c","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DNHAYFBCJK7SW5K6FS2R","89pK3wlP4Bll",-1
"2025-11-12 14:27:24",1762957644268,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",200,"dglkp-1762957644125-2662c7e664ff","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","lambda","/chat/[id]","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",917,"iad1",132,2048,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DMFCRMJZK0ZE5Q640DFG","xsIqoR1WXVKx",1
"2025-11-12 14:27:24",1762957644218,"chatbotcollectibus.vercel.app/chat/f09085be-ed98-4ef9-9557-9fc49d8071c5","GET","",-1,"dglkp-1762957644125-2662c7e664ff","Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:145.0) Gecko/20100101 Firefox/145.0","info","production","main","","edge-middleware","/middleware","chatbotcollectibus.vercel.app","chatbotcollectibus.vercel.app","dpl_2t3zx1cEkVBT8ybm1FycPnHqPda8",-1,"fra1",-1,-1,"","prj_51yJIqN7bV75ZxauYg0h0FXfNMc4","","","01K9W7DMB72XKJTTSE13DJYB20","",-1
